code,value,bate,code_description,modifiedDateTime,assessmentDate,isCorrected,isLatest,status
AANWC00,348.664,c,Gasoline CIF West Africa Cargo Eur/mt,2020-12-02 18:31:51,2020-12-02 00:00:00,N,Y,OK
AAUHE03,229.369,c,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-12-01 06:10:09,2020-11-01 00:00:00,N,Y,OK
AAUHE03,229.791,h,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-12-01 06:10:09,2020-11-01 00:00:00,N,Y,OK
AAUHE03,228.946,l,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-12-01 06:10:09,2020-11-01 00:00:00,N,Y,OK
AAUQC03,351.321,c,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-12-01 10:15:12,2020-11-01 00:00:00,N,Y,OK
AAUQC03,351.571,h,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-12-01 10:15:12,2020-11-01 00:00:00,N,Y,OK
AAUQC03,351.071,l,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-12-01 10:15:11,2020-11-01 00:00:00,N,Y,OK
AAVBH03,359.548,c,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-12-01 10:15:11,2020-11-01 00:00:00,N,Y,OK
AAVBH03,359.798,h,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-12-01 10:15:12,2020-11-01 00:00:00,N,Y,OK
AAVBH03,359.298,l,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-12-01 10:15:12,2020-11-01 00:00:00,N,Y,OK
AAVJI03,350.321,c,Gasoil 0.1%S FOB Med Cargo MAvg,2020-12-01 10:15:12,2020-11-01 00:00:00,N,Y,OK
AAVJI03,350.571,h,Gasoil 0.1%S FOB Med Cargo MAvg,2020-12-01 10:15:12,2020-11-01 00:00:00,N,Y,OK
AAVJI03,350.071,l,Gasoil 0.1%S FOB Med Cargo MAvg,2020-12-01 10:15:11,2020-11-01 00:00:00,N,Y,OK
AAWZC00,395.25,c,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-12-02 18:53:53,2020-12-02 00:00:00,N,Y,OK
AAWZC00,395.5,h,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-12-02 18:53:53,2020-12-02 00:00:00,N,Y,OK
AAWZC00,395.0,l,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-12-02 18:53:53,2020-12-02 00:00:00,N,Y,OK
AAYWR03,344.929,c,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-12-01 10:15:11,2020-11-01 00:00:00,N,Y,OK
AAYWR03,345.179,h,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-12-01 10:15:11,2020-11-01 00:00:00,N,Y,OK
AAYWR03,344.679,l,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-12-01 10:15:11,2020-11-01 00:00:00,N,Y,OK
AAYWT03,347.429,c,Gasoil .1%S (1000ppm) FOB ARA Barge MAvg,2020-12-01 10:15:11,2020-11-01 00:00:00,N,Y,OK
AAYWT03,347.679,h,Gasoil .1%S (1000ppm) FOB ARA Barge MAvg,2020-12-01 10:15:12,2020-11-01 00:00:00,N,Y,OK
AAYWT03,347.179,l,Gasoil .1%S (1000ppm) FOB ARA Barge MAvg,2020-12-01 10:15:11,2020-11-01 00:00:00,N,Y,OK
AAZBN00,404.0,c,Jet CIF Med Cargo,2020-12-02 18:31:48,2020-12-02 00:00:00,N,Y,OK
AAZBN00,404.25,h,Jet CIF Med Cargo,2020-12-02 18:31:48,2020-12-02 00:00:00,N,Y,OK
AAZBN00,403.75,l,Jet CIF Med Cargo,2020-12-02 18:31:48,2020-12-02 00:00:00,N,Y,OK
ABWGF03,255.833,c,FO 1%S CIF Med Cargo Eur/mt MAvg,2020-12-01 06:10:09,2020-11-01 00:00:00,N,Y,OK
ABWGF03,256.044,h,FO 1%S CIF Med Cargo Eur/mt MAvg,2020-12-01 06:10:09,2020-11-01 00:00:00,N,Y,OK
ABWGF03,255.622,l,FO 1%S CIF Med Cargo Eur/mt MAvg,2020-12-01 06:10:09,2020-11-01 00:00:00,N,Y,OK
ABWGH03,250.422,c,FO 1%S FOB Med Cargo Eur/mt MAvg,2020-12-01 06:10:09,2020-11-01 00:00:00,N,Y,OK
