code,value,bate,code_description,modifiedDateTime,assessmentDate,isCorrected,isLatest,status
AANWC00,331.771,c,Gasoline CIF West Africa Cargo Eur/mt,2020-11-16 19:52:01,2020-11-16 00:00:00,N,Y,OK
AAUHE03,214.416,c,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-11-01 06:10:12,2020-10-01 00:00:00,N,Y,OK
AAUHE03,214.841,h,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-11-01 06:10:12,2020-10-01 00:00:00,N,Y,OK
AAUHE03,213.991,l,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-11-01 06:10:12,2020-10-01 00:00:00,N,Y,OK
AAUQC03,328.648,c,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-11-01 10:15:07,2020-10-01 00:00:00,N,Y,OK
AAUQC03,328.898,h,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-11-01 10:15:07,2020-10-01 00:00:00,N,Y,OK
AAUQC03,328.398,l,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-11-01 10:15:07,2020-10-01 00:00:00,N,Y,OK
AAVBH03,335.83,c,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-11-01 10:15:07,2020-10-01 00:00:00,N,Y,OK
AAVBH03,336.08,h,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-11-01 10:15:07,2020-10-01 00:00:00,N,Y,OK
AAVBH03,335.58,l,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-11-01 10:15:07,2020-10-01 00:00:00,N,Y,OK
AAVJI03,325.75,c,Gasoil 0.1%S FOB Med Cargo MAvg,2020-11-01 10:15:07,2020-10-01 00:00:00,N,Y,OK
AAVJI03,326.0,h,Gasoil 0.1%S FOB Med Cargo MAvg,2020-11-01 10:15:07,2020-10-01 00:00:00,N,Y,OK
AAVJI03,325.5,l,Gasoil 0.1%S FOB Med Cargo MAvg,2020-11-01 10:15:07,2020-10-01 00:00:00,N,Y,OK
AAWZC00,355.0,c,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-11-16 19:23:44,2020-11-16 00:00:00,N,Y,OK
AAWZC00,355.25,h,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-11-16 19:23:44,2020-11-16 00:00:00,N,Y,OK
AAWZC00,354.75,l,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-11-16 19:23:44,2020-11-16 00:00:00,N,Y,OK
AAYWR03,319.523,c,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-11-01 10:15:07,2020-10-01 00:00:00,N,Y,OK
AAYWR03,319.773,h,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-11-01 10:15:07,2020-10-01 00:00:00,N,Y,OK
