code,value,bate,code_description,modifiedDateTime,assessmentDate,isCorrected,isLatest,status
AANWC00,351.243,c,Gasoline CIF West Africa Cargo Eur/mt,2020-09-18 19:24:39,2020-09-18 00:00:00,N,Y,OK
AAUHE03,227.579,c,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-09-01 05:10:08,2020-08-01 00:00:00,N,Y,OK
AAUHE03,228.001,h,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-09-01 05:10:08,2020-08-01 00:00:00,N,Y,OK
AAUHE03,227.156,l,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-09-01 05:10:08,2020-08-01 00:00:00,N,Y,OK
AAUQC03,364.675,c,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAUQC03,364.925,h,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAUQC03,364.425,l,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAVBH03,377.825,c,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAVBH03,378.075,h,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAVBH03,377.575,l,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAVJI03,359.113,c,Gasoil 0.1%S FOB Med Cargo MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAVJI03,359.363,h,Gasoil 0.1%S FOB Med Cargo MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAVJI03,358.863,l,Gasoil 0.1%S FOB Med Cargo MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAWZC00,338.5,c,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-09-18 19:16:09,2020-09-18 00:00:00,N,Y,OK
AAWZC00,338.75,h,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-09-18 19:16:09,2020-09-18 00:00:00,N,Y,OK
AAWZC00,338.25,l,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-09-18 19:16:09,2020-09-18 00:00:00,N,Y,OK
AAYWR03,358.875,c,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAYWR03,359.125,h,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAYWR03,358.625,l,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAYWT03,357.725,c,Gasoil .1%S (1000ppm) FOB ARA Barge MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAYWT03,357.975,h,Gasoil .1%S (1000ppm) FOB ARA Barge MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAYWT03,357.475,l,Gasoil .1%S (1000ppm) FOB ARA Barge MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAZBN00,326.75,c,Jet CIF Med Cargo,2020-09-18 19:24:32,2020-09-18 00:00:00,N,Y,OK
AAZBN00,327.0,h,Jet CIF Med Cargo,2020-09-18 19:24:32,2020-09-18 00:00:00,N,Y,OK
AAZBN00,326.5,l,Jet CIF Med Cargo,2020-09-18 19:24:32,2020-09-18 00:00:00,N,Y,OK
ABWGF03,240.285,c,FO 1%S CIF Med Cargo Eur/mt MAvg,2020-09-01 05:10:08,2020-08-01 00:00:00,N,Y,OK
ABWGF03,240.497,h,FO 1%S CIF Med Cargo Eur/mt MAvg,2020-09-01 05:10:08,2020-08-01 00:00:00,N,Y,OK
ABWGF03,240.074,l,FO 1%S CIF Med Cargo Eur/mt MAvg,2020-09-01 05:10:08,2020-08-01 00:00:00,N,Y,OK
ABWGH03,234.777,c,FO 1%S FOB Med Cargo Eur/mt MAvg,2020-09-01 05:10:08,2020-08-01 00:00:00,N,Y,OK
ABWGH03,234.989,h,FO 1%S FOB Med Cargo Eur/mt MAvg,2020-09-01 05:10:08,2020-08-01 00:00:00,N,Y,OK
ABWGH03,234.566,l,FO 1%S FOB Med Cargo Eur/mt MAvg,2020-09-01 05:10:08,2020-08-01 00:00:00,N,Y,OK
ABWGL03,211.021,c,FO 3.5%S CIF NWE Cargo Eur/mt MAvg,2020-09-01 05:10:08,2020-08-01 00:00:00,N,Y,OK
ABWGL03,211.232,h,FO 3.5%S CIF NWE Cargo Eur/mt MAvg,2020-09-01 05:10:08,2020-08-01 00:00:00,N,Y,OK
ABWGL03,210.809,l,FO 3.5%S CIF NWE Cargo Eur/mt MAvg,2020-09-01 05:10:08,2020-08-01 00:00:00,N,Y,OK
AAIDM00,334.725,c,Jet FOB Med Cargo MAvg,2020-09-01 06:02:39,2020-08-01 00:00:00,N,Y,OK
AAIDM00,334.975,h,Jet FOB Med Cargo MAvg,2020-09-01 06:02:39,2020-08-01 00:00:00,N,Y,OK
AAIDM00,334.475,l,Jet FOB Med Cargo MAvg,2020-09-01 06:02:39,2020-08-01 00:00:00,N,Y,OK
AAJUW00,370.238,c,ULSD 10ppmS FOB ARA Barge MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAJUW00,370.488,h,ULSD 10ppmS FOB ARA Barge MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAJUW00,369.988,l,ULSD 10ppmS FOB ARA Barge MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAKOD00,449.75,c,Gasoline Reg Unleaded 98 FOB AR Barges,2020-09-18 17:49:13,2020-09-18 00:00:00,N,Y,OK
AAKOD00,450.0,h,Gasoline Reg Unleaded 98 FOB AR Barges,2020-09-18 17:49:13,2020-09-18 00:00:00,N,Y,OK
AAKOD00,449.5,l,Gasoline Reg Unleaded 98 FOB AR Barges,2020-09-18 17:49:13,2020-09-18 00:00:00,N,Y,OK
