code,value,bate,code_description,modifiedDateTime,assessmentDate,isCorrected,isLatest,status
AANWC00,303.728,c,Gasoline CIF West Africa Cargo Eur/mt,2020-06-08 17:49:40,2020-06-08 00:00:00,N,Y,OK
AAUHE03,148.074,c,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
AAUHE03,148.532,h,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
AAUHE03,147.616,l,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
AAUQC03,252.842,c,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-06-01 09:15:07,2020-05-01 00:00:00,N,Y,OK
AAUQC03,253.092,h,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-06-01 09:15:06,2020-05-01 00:00:00,N,Y,OK
AAUQC03,252.592,l,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-06-01 09:15:06,2020-05-01 00:00:00,N,Y,OK
AAVBH03,266.079,c,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-06-01 09:15:07,2020-05-01 00:00:00,N,Y,OK
AAVBH03,266.329,h,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-06-01 09:15:06,2020-05-01 00:00:00,N,Y,OK
AAVBH03,265.829,l,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-06-01 09:15:06,2020-05-01 00:00:00,N,Y,OK
AAVJI03,232.289,c,Gasoil 0.1%S FOB Med Cargo MAvg,2020-06-01 09:15:07,2020-05-01 00:00:00,N,Y,OK
AAVJI03,232.539,h,Gasoil 0.1%S FOB Med Cargo MAvg,2020-06-01 09:15:07,2020-05-01 00:00:00,N,Y,OK
AAVJI03,232.039,l,Gasoil 0.1%S FOB Med Cargo MAvg,2020-06-01 09:15:06,2020-05-01 00:00:00,N,Y,OK
AAWZC00,337.25,c,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-06-08 17:17:44,2020-06-08 00:00:00,N,Y,OK
AAWZC00,337.5,h,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-06-08 17:17:44,2020-06-08 00:00:00,N,Y,OK
AAWZC00,337.0,l,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-06-08 17:17:44,2020-06-08 00:00:00,N,Y,OK
AAYWR03,242.434,c,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-06-01 09:15:06,2020-05-01 00:00:00,N,Y,OK
AAYWR03,242.684,h,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-06-01 09:15:07,2020-05-01 00:00:00,N,Y,OK
AAYWR03,242.184,l,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-06-01 09:15:07,2020-05-01 00:00:00,N,Y,OK
AAYWT03,245.776,c,Gasoil .1%S (1000ppm) FOB ARA Barge MAvg,2020-06-01 09:15:07,2020-05-01 00:00:00,N,Y,OK
AAYWT03,246.026,h,Gasoil .1%S (1000ppm) FOB ARA Barge MAvg,2020-06-01 09:15:07,2020-05-01 00:00:00,N,Y,OK
AAYWT03,245.526,l,Gasoil .1%S (1000ppm) FOB ARA Barge MAvg,2020-06-01 09:15:07,2020-05-01 00:00:00,N,Y,OK
AAZBN00,316.5,c,Jet CIF Med Cargo,2020-06-08 17:13:56,2020-06-08 00:00:00,N,Y,OK
AAZBN00,316.75,h,Jet CIF Med Cargo,2020-06-08 17:13:56,2020-06-08 00:00:00,N,Y,OK
AAZBN00,316.25,l,Jet CIF Med Cargo,2020-06-08 17:13:56,2020-06-08 00:00:00,N,Y,OK
ABWGF03,178.991,c,FO 1%S CIF Med Cargo Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
ABWGF03,179.22,h,FO 1%S CIF Med Cargo Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
ABWGF03,178.762,l,FO 1%S CIF Med Cargo Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
ABWGH03,166.674,c,FO 1%S FOB Med Cargo Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
ABWGH03,166.904,h,FO 1%S FOB Med Cargo Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
ABWGH03,166.445,l,FO 1%S FOB Med Cargo Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
ABWGL03,130.772,c,FO 3.5%S CIF NWE Cargo Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
ABWGL03,131.002,h,FO 3.5%S CIF NWE Cargo Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
ABWGL03,130.543,l,FO 3.5%S CIF NWE Cargo Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
AAIDM00,197.0,c,Jet FOB Med Cargo MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAIDM00,197.25,h,Jet FOB Med Cargo MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAIDM00,196.75,l,Jet FOB Med Cargo MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAJUW00,254.697,c,ULSD 10ppmS FOB ARA Barge MAvg,2020-06-01 09:15:07,2020-05-01 00:00:00,N,Y,OK
AAJUW00,254.947,h,ULSD 10ppmS FOB ARA Barge MAvg,2020-06-01 09:15:06,2020-05-01 00:00:00,N,Y,OK
AAJUW00,254.447,l,ULSD 10ppmS FOB ARA Barge MAvg,2020-06-01 09:15:07,2020-05-01 00:00:00,N,Y,OK
AAKOD00,418.5,c,Gasoline Reg Unleaded 98 FOB AR Barges,2020-06-08 17:35:10,2020-06-08 00:00:00,N,Y,OK
AAKOD00,418.75,h,Gasoline Reg Unleaded 98 FOB AR Barges,2020-06-08 17:35:10,2020-06-08 00:00:00,N,Y,OK
AAKOD00,418.25,l,Gasoline Reg Unleaded 98 FOB AR Barges,2020-06-08 17:35:10,2020-06-08 00:00:00,N,Y,OK
AAQCF03,202.439,c,Jet CIF NWE Cargo Eur/mt MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAQCF03,202.668,h,Jet CIF NWE Cargo Eur/mt MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAQCF03,202.21,l,Jet CIF NWE Cargo Eur/mt MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAQCH03,247.956,c,Gasoline Prem Unleaded FOB AR Barge Eur/mt MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAQCH03,248.185,h,Gasoline Prem Unleaded FOB AR Barge Eur/mt MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAQCH03,247.726,l,Gasoline Prem Unleaded FOB AR Barge Eur/mt MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAQCK00,197.246,c,FO 3.5%S FOB Rdam Barge Eur/mt,2020-06-08 19:11:52,2020-06-08 00:00:00,N,Y,OK
AAQCK00,197.467,h,FO 3.5%S FOB Rdam Barge Eur/mt,2020-06-08 19:11:52,2020-06-08 00:00:00,N,Y,OK
AAQCK00,197.025,l,FO 3.5%S FOB Rdam Barge Eur/mt,2020-06-08 19:11:52,2020-06-08 00:00:00,N,Y,OK
AAQCK03,134.668,c,FO 3.5%S FOB Rdam Barge Eur/mt MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAQCK03,134.898,h,FO 3.5%S FOB Rdam Barge Eur/mt MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAQCK03,134.439,l,FO 3.5%S FOB Rdam Barge Eur/mt MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAVBG03,262.382,c,ULSD 10ppmS CIF NWE Cargo MAvg,2020-06-01 09:15:06,2020-05-01 00:00:00,N,Y,OK
AAVBG03,262.632,h,ULSD 10ppmS CIF NWE Cargo MAvg,2020-06-01 09:15:07,2020-05-01 00:00:00,N,Y,OK
AAVBG03,262.132,l,ULSD 10ppmS CIF NWE Cargo MAvg,2020-06-01 09:15:07,2020-05-01 00:00:00,N,Y,OK
AAVBH00,338.25,c,ULSD 10ppmS CIF NWE Basis UK Cargo,2020-06-08 17:17:44,2020-06-08 00:00:00,N,Y,OK
AAVBH00,338.5,h,ULSD 10ppmS CIF NWE Basis UK Cargo,2020-06-08 17:17:44,2020-06-08 00:00:00,N,Y,OK
AAVBH00,338.0,l,ULSD 10ppmS CIF NWE Basis UK Cargo,2020-06-08 17:17:44,2020-06-08 00:00:00,N,Y,OK
AAVJJ00,333.25,c,Gasoil .1%S (1000ppm) CIF Med Cargo,2020-06-08 17:49:36,2020-06-08 00:00:00,N,Y,OK
AAVJJ00,333.5,h,Gasoil .1%S (1000ppm) CIF Med Cargo,2020-06-08 17:49:36,2020-06-08 00:00:00,N,Y,OK
AAVJJ00,333.0,l,Gasoil .1%S (1000ppm) CIF Med Cargo,2020-06-08 17:49:36,2020-06-08 00:00:00,N,Y,OK
AAVJJ03,250.382,c,Gasoil .1%S (1000ppm) CIF Med Cargo MAvg,2020-06-01 09:15:06,2020-05-01 00:00:00,N,Y,OK
AAVJJ03,250.632,h,Gasoil .1%S (1000ppm) CIF Med Cargo MAvg,2020-06-01 09:15:07,2020-05-01 00:00:00,N,Y,OK
AAVJJ03,250.132,l,Gasoil .1%S (1000ppm) CIF Med Cargo MAvg,2020-06-01 09:15:06,2020-05-01 00:00:00,N,Y,OK
AAWYZ00,341.5,c,ULSD 10ppmS CIF Med Cargo,2020-06-08 17:17:44,2020-06-08 00:00:00,N,Y,OK
AAWYZ00,341.75,h,ULSD 10ppmS CIF Med Cargo,2020-06-08 17:17:44,2020-06-08 00:00:00,N,Y,OK
AAWYZ00,341.25,l,ULSD 10ppmS CIF Med Cargo,2020-06-08 17:17:44,2020-06-08 00:00:00,N,Y,OK
AAWYZ03,267.947,c,ULSD 10ppmS CIF Med Cargo MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAWYZ03,268.197,h,ULSD 10ppmS CIF Med Cargo MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAWYZ03,267.697,l,ULSD 10ppmS CIF Med Cargo MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAWZA03,260.553,c,Gasoline Prem Unleaded 10ppmS FOB Med Cargo MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAWZA03,260.803,h,Gasoline Prem Unleaded 10ppmS FOB Med Cargo MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAWZA03,260.303,l,Gasoline Prem Unleaded 10ppmS FOB Med Cargo MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAWZB03,272.868,c,Gasoline Prem Unleaded 10ppmS CIF Med Cargo MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAWZB03,273.118,h,Gasoline Prem Unleaded 10ppmS CIF Med Cargo MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAWZB03,272.618,l,Gasoline Prem Unleaded 10ppmS CIF Med Cargo MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAXFQ03,275.132,c,Gasoline 10ppmS CIF NWE Cargo MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAXFQ03,275.382,h,Gasoline 10ppmS CIF NWE Cargo MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAXFQ03,274.882,l,Gasoline 10ppmS CIF NWE Cargo MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
ABWGG03,170.305,c,FO 1%S CIF NWE Cargo Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
ABWGG03,170.534,h,FO 1%S CIF NWE Cargo Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
ABWGG03,170.076,l,FO 1%S CIF NWE Cargo Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
AAKUV00,320.0,c,Gasoline FOB NWE West Africa Cargo $/mt,2020-06-08 17:35:10,2020-06-08 00:00:00,N,Y,OK
AAPYX10,128.2,c,Gasoline Unl 93 NY London MOC cts/gal,2020-06-08 15:56:00,2020-06-08 00:00:00,N,Y,OK
AAUHE00,217.834,c,FO 380 CST Rdam dlvd Eur/mt,2020-06-08 19:11:52,2020-06-08 00:00:00,N,Y,OK
AAUHE00,218.277,h,FO 380 CST Rdam dlvd Eur/mt,2020-06-08 19:11:52,2020-06-08 00:00:00,N,Y,OK
AAUHE00,217.391,l,FO 380 CST Rdam dlvd Eur/mt,2020-06-08 19:11:52,2020-06-08 00:00:00,N,Y,OK
AAYWS00,330.75,c,Gasoil 0.1%S CIF NWE Cargo,2020-06-08 17:49:35,2020-06-08 00:00:00,N,Y,OK
AAYWS00,331.0,h,Gasoil 0.1%S CIF NWE Cargo,2020-06-08 17:49:35,2020-06-08 00:00:00,N,Y,OK
AAYWS00,330.5,l,Gasoil 0.1%S CIF NWE Cargo,2020-06-08 17:49:35,2020-06-08 00:00:00,N,Y,OK
ABWGI00,209.643,c,FO 1%S FOB Rdam Barge Eur/mt,2020-06-08 19:11:52,2020-06-08 00:00:00,N,Y,OK
ABWGI00,209.865,h,FO 1%S FOB Rdam Barge Eur/mt,2020-06-08 19:11:52,2020-06-08 00:00:00,N,Y,OK
ABWGI00,209.422,l,FO 1%S FOB Rdam Barge Eur/mt,2020-06-08 19:11:52,2020-06-08 00:00:00,N,Y,OK
AAKOE00,322.882,c,Gasoline Reg Unleaded 98 FOB AR Barges MAvg,2020-06-01 09:15:06,2020-05-01 00:00:00,N,Y,OK
AAKOE00,323.132,h,Gasoline Reg Unleaded 98 FOB AR Barges MAvg,2020-06-01 09:15:06,2020-05-01 00:00:00,N,Y,OK
AAKOE00,322.632,l,Gasoline Reg Unleaded 98 FOB AR Barges MAvg,2020-06-01 09:15:06,2020-05-01 00:00:00,N,Y,OK
AAPYV10,115.95,c,Gasoline Unl 87 NY London MOC cts/gal,2020-06-08 15:56:00,2020-06-08 00:00:00,N,Y,OK
AAPYW13,97.136,c,Gasoline Unl 89 NY London MOC cts/gal MAvg,2020-06-01 09:02:14,2020-05-01 00:00:00,N,Y,OK
AAQCH00,317.896,c,Gasoline Prem Unleaded FOB AR Barge Eur/mt,2020-06-08 17:35:33,2020-06-08 00:00:00,N,Y,OK
AAQCH00,318.117,h,Gasoline Prem Unleaded FOB AR Barge Eur/mt,2020-06-08 17:35:33,2020-06-08 00:00:00,N,Y,OK
AAQCH00,317.675,l,Gasoline Prem Unleaded FOB AR Barge Eur/mt,2020-06-08 17:35:33,2020-06-08 00:00:00,N,Y,OK
AAQCI03,233.376,c,ULSD 10ppmS FOB ARA Barge Eur/mt MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAQCI03,233.606,h,ULSD 10ppmS FOB ARA Barge Eur/mt MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAQCI03,233.147,l,ULSD 10ppmS FOB ARA Barge Eur/mt MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAQZV03,252.882,c,Gasoline Eurobob FOB AR Barge MAvg,2020-06-01 09:15:07,2020-05-01 00:00:00,N,Y,OK
AAQZV03,253.132,h,Gasoline Eurobob FOB AR Barge MAvg,2020-06-01 09:15:06,2020-05-01 00:00:00,N,Y,OK
AAQZV03,252.632,l,Gasoline Eurobob FOB AR Barge MAvg,2020-06-01 09:15:06,2020-05-01 00:00:00,N,Y,OK
AAUQF00,289.781,c,Gasoil ARA 50ppmS FOB barge Eur/mt,2020-06-08 17:49:44,2020-06-08 00:00:00,N,Y,OK
AAUQF00,290.003,h,Gasoil ARA 50ppmS FOB barge Eur/mt,2020-06-08 17:49:44,2020-06-08 00:00:00,N,Y,OK
AAUQF00,289.56,l,Gasoil ARA 50ppmS FOB barge Eur/mt,2020-06-08 17:49:44,2020-06-08 00:00:00,N,Y,OK
AAVBF00,327.0,c,ULSD 10ppmS FOB NWE Cargo,2020-06-08 17:17:44,2020-06-08 00:00:00,N,Y,OK
AAVBF00,327.25,h,ULSD 10ppmS FOB NWE Cargo,2020-06-08 17:17:44,2020-06-08 00:00:00,N,Y,OK
AAVBF00,326.75,l,ULSD 10ppmS FOB NWE Cargo,2020-06-08 17:17:44,2020-06-08 00:00:00,N,Y,OK
AAWYY03,253.013,c,ULSD 10ppmS FOB Med Cargo MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAWYY03,253.263,h,ULSD 10ppmS FOB Med Cargo MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
AAWYY03,252.763,l,ULSD 10ppmS FOB Med Cargo MAvg,2020-06-01 06:01:51,2020-05-01 00:00:00,N,Y,OK
ABWGI03,156.937,c,FO 1%S FOB Rdam Barge Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
ABWGI03,157.166,h,FO 1%S FOB Rdam Barge Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
ABWGI03,156.708,l,FO 1%S FOB Rdam Barge Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
AANWC03,231.004,c,Gasoline CIF West Africa Cargo Eur/mt MAvg,2020-06-01 05:10:08,2020-05-01 00:00:00,N,Y,OK
AAQCG00,209.643,c,FO 1%S FOB NWE Cargo Eur/mt,2020-06-08 19:11:52,2020-06-08 00:00:00,N,Y,OK
AAQCG00,209.865,h,FO 1%S FOB NWE Cargo Eur/mt,2020-06-08 19:11:52,2020-06-08 00:00:00,N,Y,OK
AAQCG00,209.422,l,FO 1%S FOB NWE Cargo Eur/mt,2020-06-08 19:11:52,2020-06-08 00:00:00,N,Y,OK
AAUQC00,327.25,c,Gasoil .005%S (50ppm) FOB ARA Barge,2020-06-08 17:49:36,2020-06-08 00:00:00,N,Y,OK
AAUQC00,327.5,h,Gasoil .005%S (50ppm) FOB ARA Barge,2020-06-08 17:49:36,2020-06-08 00:00:00,N,Y,OK
AAUQC00,327.0,l,Gasoil .005%S (50ppm) FOB ARA Barge,2020-06-08 17:49:36,2020-06-08 00:00:00,N,Y,OK
AAVBF03,249.671,c,ULSD 10ppmS FOB NWE Cargo MAvg,2020-06-01 09:15:06,2020-05-01 00:00:00,N,Y,OK
AAVBF03,249.921,h,ULSD 10ppmS FOB NWE Cargo MAvg,2020-06-01 09:15:07,2020-05-01 00:00:00,N,Y,OK
AAVBF03,249.421,l,ULSD 10ppmS FOB NWE Cargo MAvg,2020-06-01 09:15:07,2020-05-01 00:00:00,N,Y,OK
AAVJI00,320.75,c,Gasoil 0.1%S FOB Med Cargo,2020-06-08 17:49:36,2020-06-08 00:00:00,N,Y,OK
AAVJI00,321.0,h,Gasoil 0.1%S FOB Med Cargo,2020-06-08 17:49:36,2020-06-08 00:00:00,N,Y,OK
AAVJI00,320.5,l,Gasoil 0.1%S FOB Med Cargo,2020-06-08 17:49:36,2020-06-08 00:00:00,N,Y,OK
AAWYY00,331.0,c,ULSD 10ppmS FOB Med Cargo,2020-06-08 17:17:44,2020-06-08 00:00:00,N,Y,OK
