code,value,bate,code_description,modifiedDateTime,assessmentDate,isCorrected,isLatest,status
AANWC00,355.883,c,Gasoline CIF West Africa Cargo Eur/mt,2020-09-25 17:46:36,2020-09-25 00:00:00,N,Y,OK
AAUHE03,227.579,c,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-09-01 05:10:08,2020-08-01 00:00:00,N,Y,OK
AAUHE03,228.001,h,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-09-01 05:10:08,2020-08-01 00:00:00,N,Y,OK
AAUHE03,227.156,l,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-09-01 05:10:08,2020-08-01 00:00:00,N,Y,OK
AAUQC03,364.675,c,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAUQC03,364.925,h,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAUQC03,364.425,l,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAVBH03,377.825,c,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAVBH03,378.075,h,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAVBH03,377.575,l,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAVJI03,359.113,c,Gasoil 0.1%S FOB Med Cargo MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAVJI03,359.363,h,Gasoil 0.1%S FOB Med Cargo MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAVJI03,358.863,l,Gasoil 0.1%S FOB Med Cargo MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAWZC00,326.0,c,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-09-25 17:19:57,2020-09-25 00:00:00,N,Y,OK
AAWZC00,326.25,h,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-09-25 17:19:57,2020-09-25 00:00:00,N,Y,OK
AAWZC00,325.75,l,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-09-25 17:19:57,2020-09-25 00:00:00,N,Y,OK
AAYWR03,358.875,c,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAYWR03,359.125,h,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAYWR03,358.625,l,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAYWT03,357.725,c,Gasoil .1%S (1000ppm) FOB ARA Barge MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAYWT03,357.975,h,Gasoil .1%S (1000ppm) FOB ARA Barge MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
AAYWT03,357.475,l,Gasoil .1%S (1000ppm) FOB ARA Barge MAvg,2020-09-01 09:15:08,2020-08-01 00:00:00,N,Y,OK
