code,value,bate,code_description,modifiedDateTime,assessmentDate,isCorrected,isLatest,status
AANWC00,161.825,c,Gasoline CIF West Africa Cargo Eur/mt,2020-05-01 17:48:55,2020-05-01 00:00:00,N,Y,OK
AAUHE03,132.108,c,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
AAUHE03,132.568,h,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
AAUHE03,131.647,l,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
AAUQC03,244.988,c,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAUQC03,245.238,h,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAUQC03,244.738,l,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVBH03,255.85,c,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVBH03,256.1,h,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVBH03,255.6,l,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVJI03,183.95,c,Gasoil 0.1%S FOB Med Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVJI03,184.2,h,Gasoil 0.1%S FOB Med Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVJI03,183.7,l,Gasoil 0.1%S FOB Med Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAWZC00,225.5,c,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-05-01 17:30:47,2020-05-01 00:00:00,N,Y,OK
AAWZC00,225.75,h,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-05-01 17:30:47,2020-05-01 00:00:00,N,Y,OK
AAWZC00,225.25,l,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-05-01 17:30:47,2020-05-01 00:00:00,N,Y,OK
AAYWR03,214.25,c,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAYWR03,214.5,h,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAYWR03,214.0,l,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAYWT03,231.888,c,Gasoil .1%S (1000ppm) FOB ARA Barge MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAYWT03,232.138,h,Gasoil .1%S (1000ppm) FOB ARA Barge MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAYWT03,231.638,l,Gasoil .1%S (1000ppm) FOB ARA Barge MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAZBN00,143.0,c,Jet CIF Med Cargo,2020-05-01 17:20:14,2020-05-01 00:00:00,N,Y,OK
AAZBN00,143.25,h,Jet CIF Med Cargo,2020-05-01 17:20:14,2020-05-01 00:00:00,N,Y,OK
AAZBN00,142.75,l,Jet CIF Med Cargo,2020-05-01 17:20:14,2020-05-01 00:00:00,N,Y,OK
ABWGF03,147.974,c,FO 1%S CIF Med Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
ABWGF03,148.205,h,FO 1%S CIF Med Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
ABWGF03,147.744,l,FO 1%S CIF Med Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
ABWGH03,134.902,c,FO 1%S FOB Med Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
ABWGH03,135.132,h,FO 1%S FOB Med Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
ABWGH03,134.672,l,FO 1%S FOB Med Cargo Eur/mt MAvg,2020-05-01 05:10:08,2020-04-01 00:00:00,N,Y,OK
ABWGL03,100.81,c,FO 3.5%S CIF NWE Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
ABWGL03,101.04,h,FO 3.5%S CIF NWE Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
ABWGL03,100.58,l,FO 3.5%S CIF NWE Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
AAIDM00,132.5,c,Jet FOB Med Cargo MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAIDM00,132.75,h,Jet FOB Med Cargo MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAIDM00,132.25,l,Jet FOB Med Cargo MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAJUW00,246.113,c,ULSD 10ppmS FOB ARA Barge MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAJUW00,246.363,h,ULSD 10ppmS FOB ARA Barge MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAJUW00,245.863,l,ULSD 10ppmS FOB ARA Barge MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAKOD00,236.0,c,Gasoline Reg Unleaded 98 FOB AR Barges,2020-05-01 17:48:50,2020-05-01 00:00:00,N,Y,OK
AAKOD00,236.25,h,Gasoline Reg Unleaded 98 FOB AR Barges,2020-05-01 17:48:50,2020-05-01 00:00:00,N,Y,OK
AAKOD00,235.75,l,Gasoline Reg Unleaded 98 FOB AR Barges,2020-05-01 17:48:50,2020-05-01 00:00:00,N,Y,OK
AAQCF03,163.801,c,Jet CIF NWE Cargo Eur/mt MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAQCF03,164.031,h,Jet CIF NWE Cargo Eur/mt MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAQCF03,163.571,l,Jet CIF NWE Cargo Eur/mt MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAQCH03,162.806,c,Gasoline Prem Unleaded FOB AR Barge Eur/mt MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAQCH03,163.036,h,Gasoline Prem Unleaded FOB AR Barge Eur/mt MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAQCH03,162.575,l,Gasoline Prem Unleaded FOB AR Barge Eur/mt MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAQCK00,91.693,c,FO 3.5%S FOB Rdam Barge Eur/mt,2020-05-01 19:01:05,2020-05-01 00:00:00,N,Y,OK
AAQCK00,91.92,h,FO 3.5%S FOB Rdam Barge Eur/mt,2020-05-01 19:01:05,2020-05-01 00:00:00,N,Y,OK
AAQCK00,91.466,l,FO 3.5%S FOB Rdam Barge Eur/mt,2020-05-01 19:01:05,2020-05-01 00:00:00,N,Y,OK
AAQCK03,104.721,c,FO 3.5%S FOB Rdam Barge Eur/mt MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAQCK03,104.951,h,FO 3.5%S FOB Rdam Barge Eur/mt MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAQCK03,104.491,l,FO 3.5%S FOB Rdam Barge Eur/mt MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAVBG03,250.15,c,ULSD 10ppmS CIF NWE Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVBG03,250.4,h,ULSD 10ppmS CIF NWE Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVBG03,249.9,l,ULSD 10ppmS CIF NWE Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVBH00,228.5,c,ULSD 10ppmS CIF NWE Basis UK Cargo,2020-05-01 17:30:47,2020-05-01 00:00:00,N,Y,OK
AAVBH00,228.75,h,ULSD 10ppmS CIF NWE Basis UK Cargo,2020-05-01 17:30:47,2020-05-01 00:00:00,N,Y,OK
AAVBH00,228.25,l,ULSD 10ppmS CIF NWE Basis UK Cargo,2020-05-01 17:30:47,2020-05-01 00:00:00,N,Y,OK
AAVJJ00,205.0,c,Gasoil .1%S (1000ppm) CIF Med Cargo,2020-05-01 17:20:51,2020-05-01 00:00:00,N,Y,OK
AAVJJ00,205.25,h,Gasoil .1%S (1000ppm) CIF Med Cargo,2020-05-01 17:20:51,2020-05-01 00:00:00,N,Y,OK
AAVJJ00,204.75,l,Gasoil .1%S (1000ppm) CIF Med Cargo,2020-05-01 17:20:51,2020-05-01 00:00:00,N,Y,OK
AAVJJ03,219.613,c,Gasoil .1%S (1000ppm) CIF Med Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVJJ03,219.863,h,Gasoil .1%S (1000ppm) CIF Med Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVJJ03,219.363,l,Gasoil .1%S (1000ppm) CIF Med Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAWYZ00,214.0,c,ULSD 10ppmS CIF Med Cargo,2020-05-01 17:30:47,2020-05-01 00:00:00,N,Y,OK
AAWYZ00,214.25,h,ULSD 10ppmS CIF Med Cargo,2020-05-01 17:30:47,2020-05-01 00:00:00,N,Y,OK
AAWYZ00,213.75,l,ULSD 10ppmS CIF Med Cargo,2020-05-01 17:30:47,2020-05-01 00:00:00,N,Y,OK
AAWYZ03,239.525,c,ULSD 10ppmS CIF Med Cargo MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAWYZ03,239.775,h,ULSD 10ppmS CIF Med Cargo MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAWYZ03,239.275,l,ULSD 10ppmS CIF Med Cargo MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAWZA03,169.8,c,Gasoline Prem Unleaded 10ppmS FOB Med Cargo MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAWZA03,170.05,h,Gasoline Prem Unleaded 10ppmS FOB Med Cargo MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAWZA03,169.55,l,Gasoline Prem Unleaded 10ppmS FOB Med Cargo MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAWZB03,194.313,c,Gasoline Prem Unleaded 10ppmS CIF Med Cargo MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAWZB03,194.563,h,Gasoline Prem Unleaded 10ppmS CIF Med Cargo MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAWZB03,194.063,l,Gasoline Prem Unleaded 10ppmS CIF Med Cargo MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAXFQ03,188.45,c,Gasoline 10ppmS CIF NWE Cargo MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAXFQ03,188.7,h,Gasoline 10ppmS CIF NWE Cargo MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAXFQ03,188.2,l,Gasoline 10ppmS CIF NWE Cargo MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
ABWGG03,141.366,c,FO 1%S CIF NWE Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
ABWGG03,141.597,h,FO 1%S CIF NWE Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
ABWGG03,141.136,l,FO 1%S CIF NWE Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
AAKUV00,138.5,c,Gasoline FOB NWE West Africa Cargo $/mt,2020-05-01 17:48:50,2020-05-01 00:00:00,N,Y,OK
AAPYX10,81.48,c,Gasoline Unl 93 NY London MOC cts/gal,2020-05-01 16:58:47,2020-05-01 00:00:00,N,Y,OK
AAUHE00,109.85,c,FO 380 CST Rdam dlvd Eur/mt,2020-05-01 19:01:05,2020-05-01 00:00:00,N,Y,OK
AAUHE00,110.304,h,FO 380 CST Rdam dlvd Eur/mt,2020-05-01 19:01:05,2020-05-01 00:00:00,N,Y,OK
AAUHE00,109.396,l,FO 380 CST Rdam dlvd Eur/mt,2020-05-01 19:01:05,2020-05-01 00:00:00,N,Y,OK
AAYWS00,219.5,c,Gasoil 0.1%S CIF NWE Cargo,2020-05-01 17:20:51,2020-05-01 00:00:00,N,Y,OK
AAYWS00,219.75,h,Gasoil 0.1%S CIF NWE Cargo,2020-05-01 17:20:51,2020-05-01 00:00:00,N,Y,OK
AAYWS00,219.25,l,Gasoil 0.1%S CIF NWE Cargo,2020-05-01 17:20:51,2020-05-01 00:00:00,N,Y,OK
ABWGI00,113.936,c,FO 1%S FOB Rdam Barge Eur/mt,2020-05-01 19:01:05,2020-05-01 00:00:00,N,Y,OK
ABWGI00,114.163,h,FO 1%S FOB Rdam Barge Eur/mt,2020-05-01 19:01:05,2020-05-01 00:00:00,N,Y,OK
ABWGI00,113.709,l,FO 1%S FOB Rdam Barge Eur/mt,2020-05-01 19:01:05,2020-05-01 00:00:00,N,Y,OK
AAKOE00,236.925,c,Gasoline Reg Unleaded 98 FOB AR Barges MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAKOE00,237.175,h,Gasoline Reg Unleaded 98 FOB AR Barges MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAKOE00,236.675,l,Gasoline Reg Unleaded 98 FOB AR Barges MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAPYV10,67.98,c,Gasoline Unl 87 NY London MOC cts/gal,2020-05-01 16:58:47,2020-05-01 00:00:00,N,Y,OK
AAPYW13,68.156,c,Gasoline Unl 89 NY London MOC cts/gal MAvg,2020-05-01 09:02:10,2020-04-01 00:00:00,N,Y,OK
AAQCH00,167.953,c,Gasoline Prem Unleaded FOB AR Barge Eur/mt,2020-05-01 17:49:10,2020-05-01 00:00:00,N,Y,OK
